,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
120,3.4678,3.5193,3.5391,3.4833,3.4722,3.4167,3.3971,3.4508,3.4669,3.5311,3.5497,3.4852,3.4722,3.408,3.3844,3.4477,3.4666
121,3.4632,3.5184,3.537,3.4833,3.4703,3.4161,3.3953,3.4495,3.4641,3.5255,3.5466,3.483,3.4685,3.4046,3.381,3.4461,3.4654
122,3.4678,3.5174,3.5401,3.4843,3.4716,3.4148,3.3959,3.4495,3.4675,3.5289,3.5512,3.4858,3.4709,3.4064,3.3841,3.4443,3.4666
123,3.4691,3.5193,3.5438,3.4883,3.4734,3.417,3.3928,3.4495,3.4685,3.5311,3.5553,3.4883,3.474,3.4086,3.3801,3.4446,3.4685
124,3.4675,3.5165,3.5394,3.4836,3.4722,3.4167,3.3962,3.452,3.4672,3.5295,3.5487,3.4874,3.4731,3.4074,3.3835,3.4471,3.4672
125,3.4703,3.5252,3.5444,3.4889,3.4734,3.4192,3.3944,3.4514,3.4691,3.5298,3.5559,3.4902,3.4753,3.4071,3.3823,3.4455,3.4694
126,3.4688,3.5239,3.5444,3.4892,3.4737,3.4182,3.3944,3.4508,3.4694,3.5317,3.5553,3.4923,3.475,3.4077,3.3813,3.4477,3.4694
127,3.4706,3.5236,3.545,3.4892,3.4756,3.4185,3.3971,3.4536,3.47,3.5308,3.5574,3.4911,3.4759,3.4108,3.3832,3.4449,3.4703
128,3.4697,3.5193,3.546,3.4874,3.4722,3.4151,3.3909,3.4461,3.4691,3.5332,3.558,3.4914,3.474,3.4058,3.3767,3.4424,3.4691
129,3.4703,3.5258,3.5456,3.4889,3.4753,3.4188,3.394,3.4508,3.4703,3.5314,3.5571,3.4917,3.475,3.4064,3.3816,3.4474,3.4697
130,3.4734,3.5239,3.5515,3.4933,3.4774,3.4182,3.3928,3.4508,3.4734,3.5373,3.563,3.4976,3.4774,3.4086,3.3785,3.4443,3.4719
131,3.47,3.5258,3.5456,3.4902,3.474,3.4185,3.3959,3.4492,3.47,3.5336,3.5565,3.4914,3.4756,3.4092,3.3816,3.4477,3.4691
132,3.4719,3.5255,3.5484,3.4908,3.4762,3.4192,3.394,3.4523,3.4716,3.5301,3.5599,3.4939,3.4768,3.4083,3.3807,3.4468,3.4706
133,3.4706,3.5252,3.5456,3.4883,3.4753,3.4173,3.3937,3.4486,3.4694,3.5329,3.558,3.4911,3.4756,3.4108,3.3816,3.4458,3.4703
134,3.4734,3.5243,3.5503,3.4936,3.4774,3.4198,3.394,3.4539,3.4737,3.5379,3.5618,3.4942,3.4778,3.4123,3.3807,3.4474,3.4716
135,3.47,3.5236,3.5469,3.4917,3.4756,3.4198,3.3931,3.4502,3.4703,3.5357,3.5596,3.4933,3.4753,3.4095,3.3804,3.4421,3.4706
136,3.4734,3.5292,3.5518,3.4939,3.4781,3.4198,3.3925,3.4502,3.4737,3.5388,3.5646,3.497,3.4781,3.4074,3.3792,3.4471,3.4734
137,3.4747,3.5283,3.5525,3.4945,3.4781,3.4192,3.3931,3.4517,3.4743,3.5348,3.5642,3.4985,3.4784,3.4099,3.3798,3.4461,3.4728
138,3.4719,3.5277,3.5494,3.4908,3.4753,3.4182,3.3937,3.4514,3.47,3.5357,3.5611,3.4942,3.4774,3.4108,3.3807,3.443,3.4709
139,3.4743,3.5295,3.5537,3.4942,3.4781,3.4216,3.3931,3.452,3.4734,3.5401,3.5649,3.4979,3.4787,3.4111,3.3785,3.4468,3.4737
140,3.4743,3.5249,3.5534,3.497,3.4774,3.4204,3.3919,3.4483,3.4737,3.5385,3.567,3.4976,3.4787,3.4111,3.3779,3.4468,3.4737
141,3.4743,3.5286,3.5543,3.4964,3.4784,3.4182,3.3922,3.4486,3.4734,3.537,3.567,3.4985,3.479,3.4136,3.3779,3.4458,3.474
142,3.4694,3.5252,3.5475,3.4908,3.4743,3.4204,3.3959,3.4486,3.4706,3.5357,3.5602,3.4917,3.4734,3.408,3.3804,3.4483,3.47
143,3.4734,3.5292,3.5509,3.4945,3.4771,3.4188,3.3925,3.4508,3.4728,3.5367,3.5615,3.4954,3.4774,3.4139,3.3795,3.4461,3.4725
144,3.4725,3.5286,3.5503,3.4905,3.4762,3.417,3.3934,3.4477,3.4716,3.5351,3.5605,3.4933,3.4756,3.4086,3.381,3.4452,3.4703
145,3.4756,3.5329,3.5584,3.5001,3.4799,3.4229,3.3931,3.4514,3.4762,3.5416,3.5689,3.501,3.4809,3.4099,3.3785,3.444,3.4747
146,3.4737,3.5305,3.5522,3.4954,3.4768,3.4204,3.3925,3.4492,3.4716,3.532,3.5646,3.4951,3.4784,3.4111,3.3795,3.4458,3.4725
147,3.4753,3.5308,3.5562,3.4982,3.4799,3.4232,3.3916,3.448,3.475,3.5388,3.5689,3.5001,3.479,3.4117,3.3773,3.4449,3.4743
148,3.4759,3.527,3.558,3.5001,3.4815,3.4213,3.3922,3.4499,3.4765,3.5357,3.572,3.5063,3.4821,3.4123,3.3773,3.4452,3.4756
149,3.475,3.5283,3.5559,3.4945,3.479,3.4204,3.3931,3.4511,3.4747,3.5413,3.568,3.4995,3.4805,3.4123,3.3789,3.4427,3.475
150,3.4759,3.528,3.5599,3.501,3.4799,3.4204,3.39,3.4486,3.4759,3.5419,3.5729,3.5041,3.4812,3.4089,3.373,3.4381,3.4759
151,3.4793,3.5385,3.567,3.5078,3.4843,3.4241,3.3891,3.4461,3.4796,3.5444,3.5801,3.5103,3.4849,3.412,3.373,3.4446,3.4787
152,3.4827,3.5391,3.5708,3.5091,3.4871,3.425,3.3903,3.4533,3.4827,3.5515,3.5844,3.5146,3.4877,3.4148,3.3751,3.4418,3.4815
153,3.4809,3.5376,3.5639,3.5063,3.484,3.4229,3.3928,3.4499,3.479,3.5472,3.5766,3.5088,3.484,3.4145,3.3776,3.4464,3.4781
154,3.479,3.536,3.5664,3.5063,3.4836,3.4266,3.3882,3.4468,3.479,3.5475,3.5794,3.5084,3.4843,3.4161,3.3714,3.4433,3.4784
155,3.4815,3.5398,3.5689,3.5075,3.4861,3.4263,3.3916,3.4486,3.4818,3.5481,3.5822,3.5109,3.4871,3.4145,3.3764,3.4455,3.4809
156,3.4815,3.541,3.5701,3.5078,3.4871,3.4229,3.39,3.448,3.4821,3.5478,3.5838,3.5122,3.4874,3.4142,3.3723,3.444,3.4812
157,3.4833,3.5407,3.5683,3.5081,3.4871,3.4278,3.394,3.4539,3.4818,3.5478,3.5822,3.51,3.4877,3.4142,3.3792,3.4499,3.4833
158,3.4812,3.536,3.5649,3.5053,3.4855,3.4285,3.3928,3.4545,3.4802,3.5472,3.5773,3.5072,3.4855,3.4126,3.3785,3.4468,3.4793
159,3.4843,3.545,3.5739,3.5131,3.4898,3.4254,3.3909,3.4502,3.4849,3.5515,3.589,3.5156,3.4902,3.4192,3.3736,3.4461,3.4843
160,3.4861,3.5429,3.576,3.514,3.4911,3.4269,3.3913,3.452,3.4849,3.5522,3.5903,3.5187,3.4911,3.4219,3.3751,3.4443,3.4843
161,3.4861,3.5447,3.5735,3.5109,3.492,3.4309,3.3984,3.4579,3.4855,3.5556,3.5863,3.5165,3.4911,3.4195,3.3813,3.4539,3.4861
